,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
3,1.031,0,lower,0.3181823813735959,0.007718693485907247,,,,,
4,1.031,ATE,upper,0.03444294521196411,0.0123693871341777,,,,,
5,1.031,ATE,lower,0.014040069616833602,0.012183188352368835,,,,,
6,1.031,ATT,upper,0.04268500129232041,0.012856138121312127,,,,,
7,1.031,ATT,lower,0.02144500539494999,0.013218344391636888,,,,,
8,1.031,ATC,upper,-0.009485752596443242,0.012272606489855417,,,,,
9,1.031,ATC,lower,-0.0293737673805087,0.01278615081811499,,,,,
0,1.032,1,upper,0.3528269754275132,0.010229400455272887,,,,,
1,1.032,1,lower,0.34012153521514477,0.009831546573642248,,,,,
2,1.032,0,upper,0.32640343927276017,0.007926875045424681,,,,,
3,1.032,0,lower,0.318057894853794,0.007715567451230114,,,,,
4,1.032,ATE,upper,0.0347690805737192,0.01237266617308076,,,,,
5,1.032,ATE,lower,0.013718095942384644,0.012180553155657465,,,,,
6,1.032,ATT,upper,0.0430118924054448,0.01285067684256533,,,,,
7,1.032,ATT,lower,0.02109719586571456,0.013224546407581505,,,,,
8,1.032,ATC,upper,-0.009179668954901535,0.012264818772471313,,,,,
9,1.032,ATC,lower,-0.02969943792643991,0.012794731225136193,,,,,
0,1.033,1,upper,0.35302862426946635,0.010235739209974361,,,,,
1,1.033,1,lower,0.3399323811351029,0.009825647277603594,,,,,
2,1.033,0,upper,0.3265358919339371,0.007930256425189424,,,,,
3,1.033,0,lower,0.3179336493533915,0.007712448273901046,,,,,
4,1.033,ATE,upper,0.03509497491607474,0.012375952156537964,,,,,
5,1.033,ATE,lower,0.013396489201165767,0.012177930495797431,,,,,
6,1.033,ATT,upper,0.04333815062193185,0.01284523020468597,,,,,
7,1.033,ATT,lower,0.02074938633647922,0.0132307618098514,,,,,
8,1.033,ATC,upper,-0.008874177924476218,0.012257049336919843,,,,,
9,1.033,ATC,lower,-0.030025108472371012,0.012803317941744996,,,,,
0,1.034,1,upper,0.3532302731114195,0.010242078696187429,,,,,
1,1.034,1,lower,0.3397435929236877,0.009819760117756237,,,,,
2,1.034,0,upper,0.3266683445951141,0.007933638646698877,,,,,
